id,title,authors,venue,year
9759,"northwestern flora , p. 66","tc frye , gb rigg","university of washington , seattle , washington ,",
9760,some reviews of current literature,eh sibley,"acm sigmod record ,",1973.0
9761,variety and productivity in faculty careers .,rg baldwin,"new directions for higher education ,",1983.0
9762,integrity constraint in deductive databases,"ra kowalski , f sadri , p soper","proceedings of the 13th vldb conference , brighton",
9763,vacuum-assisted closure versus saline-moistened gauze in the healing of postoperative diabetic foot,"sk mccallon , ca knight , jp valiulus , mw cunningham",,
9764,survey finds companies lack e-commerce blueprint,k melymuka,"computerworld ,",
9765,a requirement-based approach to data modeling and re-engineering,"ah muntz , ct ramiller","proceedings of the international conference on very large & hellip ; ,",1994.0
9766,educating the whole person,rm berdahl,"new directions for teaching and learning ,",1995.0
9767,special section on data-issues in electronic commerce,a dogac,"sigmod record ,",
9768,attitudinal and normative variables as predictors of specific behaviors,"i ajzen , m fishbein","journal of personality and social psychology ,",
9769,society for information display,"mr douglass , cg malemes","san diego ,",
9770,a bounds inference method for vector-based memoization,"wn chin , m hagiya","proceedings of the second acm sigplan international & hellip ; ,",1997.0
9771,laparoscopic surgery for subfertility associated with endometriosis,"tz jacobson , dh barlow , pr koninckx , d olive , c","cochrane database syst rev ,",2002.0
9772,interactive storytelling system using behavior-based non-verbal information : zenetic computer,"n tosa , s matsuoka , k miyazaki","proceedings of the eleventh acm international conference on & hellip ; ,",2003.0
9773,a critical look at critical chain project management,"t raz , r barnes",,
9774,comparing hybrid peer-to-peer systems ( extended ),"b yang , h garcia-molina","27th international conference on very large data bases , rome & hellip ; ,",
9775,almost every set in exponential time is p-bi-immune,e mayordomo,"lecture notes in computer science ,",1992.0
9776,focal isolation of long heat-waves,"h rubens , rw wood","phil mag ,",
9777,instruction selection using binate covering for code size optimization,"s liao , s devadas , k keutzer , s tjiang","proceedings of the 1995 ieee/acm international conference on & hellip ; ,",1995.0
9778,cytokine genotypes in allograft rejection : guidelines for immunosuppression,"iv hutchinson , d turner , d sankaran , m awad , v","transplantation proceedings ,",1998.0
9779,rã ¶ ntgenologische erfolgstatistik von wurzelbehandlungen,hp staub,,1963.0
9780,exploring the tensions of problem-based learning : insights from research,"w hung , jh bailey , dh jonassen","new directions for teaching and learning ,",2003.0
9781,describing software design in ada,g booch,"acm sigplan notices ,",1981.0
9782,learning source description for data integration,"ah doan , p domingos , ay levy","webdb ( informal proceedings ) ,",2000.0
9783,"reference , maintenance & user 's guide for the knee ligament arthrometer",md daniel,"san diego : medmetric ,",
9784,enzyme histochemistry and immunohistochemistry with freeze-dried or freeze-substituted resin -,gi murray,"the histochemical journal ,",1992.0
9785,parallel query processing with zigzag trees,"m ziane , m zaã ¯ t , p borla-salamet","the vldb journal the international journal on very large & hellip ; ,",1993.0
9786,integrating a structured-text retrieval system with an object-oriented database system,"tw yan , j annevelink","vldb ,",1994.0
9787,system description : twelf-a meta-logical framework for deductive systems,"f pfenning , c schuermann","lecture notes in computer science ,",1999.0
9788,solid wastes,p kollias,,1993.0
9789,flc design for multi-objective system,"t lim , z bien","applied mathematics and computer science ,",1996.0
9790,approximations for a multi-step processing of spatial joins,"t brinkhoff , hp kriegel",,
9791,stochastic models for telecom commodity prices,"c kenyon , g cheliotis","computer networks ,",2001.0
9792,evaluation of ers-2 atsr-2 and noaa-14 avhrr multitemporal data for phenological studies using,"s jones , a millington , b wyatt","proceedings of the 23rd annual conference of remote sensing & hellip ; ,",
9793,career choice factors of high school students,m borchert,,2002.0
9794,economics and sociology : the prospects for an interdisciplinary discourse on law,kg dau-schmidt,"wisconsin law review ,",1997.0
9795,l : a subset of common lisp,ra brooks,,1993.0
9796,support for relaxed currency and consistency constraints in mtcache,"h guo , pa larson , r ramakrishnan , j goldstein","proc . of the acm sigmod int . conf . on management of data ,",2004.0
9797,"hsg48 , reducing error and influencing behaviour",uk hse,"isbn ,",
9798,understanding livelihood systems as complex wholes,r hã ¶ gger,"nadel eth zurich , switzerland ,",
9799,sampling grid colorings with fewer colors,"d achlioptas , m molloy , c moore , f van bussel","lecture notes in computer science ,",2004.0
9800,"maximum likelihood , consistency and data envelopment analysis : a statistical foundation",rd banker,"management science ,",1993.0
9801,a pessimistic concurrency control algorithm in multidatabase systems .,acms anthology,,
9802,timber : a native xml database,h jagdishâ ? ¦,acm,
9803,querying heterogeneous information sources using source descriptions,"ay levy , a rajaraman , jj ordilleâ ? ¦","vldb ,",1996.0
9804,source acm sigmod record archive,m franklin,"acm sigmod record ,",1997.0
9805,"object-relational database systems ( tutorial ) : principles , products and challenges","mj carey , nm mattos , ak nori","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0
9806,"programming windows , the definitive guide to the win32 api",c petzold,,1998.0
9807,an implementation and performance analysis of spatial data access,d greene,"proc . acm sigmod ,",
9808,forecasting the ocean â ?? weatherâ ??,"g rickard , m hadfield",,
9809,balancing push and pull for broadcast data,"s acharya , m franklin , s zdonik","proc . acm sigmod conf. , tucson , az , may ,",
9810,concerning restsite package vl . 1,jc miller,"university of wisconsin ,",
9811,personal goals and emotional well-being : the moderating role of motive dispositions,"jc brunstein , oc schultheiss , r graessmann","journal of personality and social psychology ,",1998.0
9812,"a. , & benkovic , sj ( 1988 )",t dix,acc . chem .,
9813,introduction to theoretical neurobiology : nonlinear and stochastic theories,hc tuckwell,"introduction to theoretical neurobiology ,",
9814,software componentsâ ??,i hardware,proc .,
9815,load balancing and data locality in parallel hierarchial n-body methods,jp singhâ ? ¦,"technical report csl-tr-92-505 , stanford university , february",
9816,ebb-flood channel systems in sandy bays and estuaries,ahw robinson,"geography ,",
9817,oceanstore : an architecture for global-scale persistent storage,"d bindel , y chen , p eaton , d geels , r gummadi , s","proceedings of acm asplos ,",
9818,product innovation and the spatial dynamics of market intelligence : does proximity to markets matter,sl cornish,"economic geography ,",1997.0
9819,requiem for large-scale models,db lee jr,"acm sigsim simulation digest ,",1975.0
9820,91-14,r no,"eth zurich , switzerland ,",
9821,impact of soa on enterprise information architectures,p patrick,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0
9822,"in curriculum , as in life , the whole is more than the sum of the parts .","rg underhill , p thompson","social studies and the young learner ,",1993.0
9823,modularity in the design and standardisation of open systems .,d beech,"computer networks ,",1984.0
9824,future challenges for the residential conference center .,"ce kasworm , eg simpsonâ ? ¦","new directions for adult and continuing education ,",1990.0
9825,architectural and application bottlenecks in scalable dsm multiprocessors,"c holt , jp singh , j hennessy","proceedings of the 23rd annual international symposium on & hellip ; ,",
9826,human neutrophils utilize a rac/cdc42-dependent mapk pathway to direct intracellular granule,"b zhong , k jiang , dl gilvary , pk epling-burnette ,","blood-new york - ,",2003.0
9827,"kv , and narayanaswamy , k. information modelling for cad/vlsi","d mcleod , rao bapa",proceedings of the acm sigmod international conference on,
9828,automated detection of outliers in real-world data,"m last , a kandel","submitted to publication ,",1999.0
9829,cache tables : paving the way for an adaptive database cache,"m altinel , c bornhovd , s krishnamurthy , c mohan , h","proceedings of the international conference on very large & hellip ; ,",
9830,principles of design automatioon system for very large scale computer design,"y ohno , m miyoshi , n yamada , t odaka , t kozawa , k","proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0
9831,the proteasome : a protein-destroying machine,"k tanaka , t chiba","genes to cells ,",1998.0
9832,historical context and contemporary setting of the learning sanctuary .,jh buskey,"new directions for adult and continuing education ,",1990.0
9833,face and tone of voice in the communication of deception,"m zuckerman , md amidon , se bishop , sd pomerantz","journal of personality and social psychology ,",
9834,cytomegalovirus vaccine trial in 400 renal transplant candidates,"hh balfour jr , pk welo , gw sachs","transplant proc ,",
9835,au coeur de windows nt,h custer,,1993.0
9836,a study to determine the material to be included in a reference book for welders and fabricators,j will,,2003.0
9837,quick fault recovery in oracle,"t lahiri , a ganesh , r weiss , a joshi","proc . acm sigmod ,",
9838,advances in converse and control lyapuno functions,cm kellet,,2002.0
9839,spontaneous interchange in chorthippus brunneus,"kr lewis , b john","chromosoma ,",1963.0
9840,inside windows 2000 : third edition,s russinovich,,2001.0
9841,federated youth foundation scholarship award,aa form,,
9842,the laboratory temperament assessment battery ( lab-tab ),"hh goldsmith , mk rothbart","university of wisconsin ,",
9843,conference tutorial notes : data mining techniques,j han,proceedings of acm sigmod international,
9844,zero reversibility and induction of the english auxiliary system,"s pilato , rc berwick","proceedings of the 23rd annual meeting of the association & hellip ; ,",
9845,"the hbpi / - tree : a modified hb-tree supporting concurrency , recovery and node consolidation","b salzberg , d lomet , g evangelidis",,
9846,parametric query optimization,"ye ioannidis , rt ng , k shim , tk sellis","the vldb journal the international journal on very large & hellip ; ,",1997.0
9847,design of data warehouses using metadata,"l wu , l miller , s nilakanta","information & software technology ,",2001.0
9848,hierarchical packet fair queing algorithms,"jcr bennett , h zhang",proceedings of acm,
9849,leap : final report on ohioâ ?? s welfare initiative to improve school attendance among teenage parents,"d long , j gueron , r wood , r fisher , v fellerath",,1997.0
9850,is heads home for the workday,m goldberg,,
9851,conservation biology of the bearded vulture ( gypaetus barbatus ),b gautschi,,2001.0
9852,mnemonics used for patient assessment,js halpern,"journal of emergency nursing ,",1994.0
9853,optimizing sql queries for parallel execution,g von bultzingsloewen,"acm sigmod record ,",1989.0
9854,"object-oriented software engineeringâ ?? a use case driven approach addison-wesley , 1992","i jacobson , m christerson , p jonsson",,
9855,designing in the dark : the changing user-developer relationship in information systems development,"j nandhakumar , m jones",,
9856,"30 , 1996 ( cspp letter )",o fcc,,
9857,restoration of local degradations in audio signals,m brejl,"radioengineering-prague - ,",1996.0
9858,conceptual modeling of web service conversations,"b benatallah , f casati , f toumani , r hamadi",,
9859,data compression in oracle,"m poess , d potapov","proceedings of the international conference on very large & hellip ; ,",2003.0
9860,can people use gesture commands ?,cg wolf,"acm sigchi bulletin ,",1986.0
9861,movaid : a mobile robotic system for residential care to disabled and elderly people,"p dario , e guglielmelli , c laschi , g teti","proceedings of the first mobinet symposium , athens , greece , & hellip ; ,",
9862,security for daml web services : annotation and matchmaking,"g denker , l kagal , t finin , m paolucci , k sycara","lecture notes in computer science ,",2003.0
9863,lab instructor arthroscopic surgery of the shoulder,c faculty,"san diego ,",
9864,the evolution of a festival : creole christmas in new orleans,"he chacko , jd schaffer","tourism management ,",1993.0
9865,managing flexibility in a maketo-order environment,"e bish , a muriel , s biller",,2001.0
9866,beam commissioning of the j-parc linac dtl-1 at kek,y kondoâ ? ¦,"proc . of 29th linac meeting in japan ( in japanese ) , & hellip ; ,",
9867,active placebos versus antidepressants for depression,"j moncrieff , s wessely , r hardy","cochrane database syst rev ,",2004.0
9868,characteristics of randomly connected threshold-element networks and network systems,si amari,"proc . ieee ,",
9869,union organization and changing demographics : a study about activism,fe gapasin,,1994.0
9870,tioga : providing data management support for scientific visualization applications,"m stonebraker , j chen , n nathan , c paxson , j wu","proceedings of the international conference on very large & hellip ; ,",1993.0
9871,a management perspective .,j welling,"new directions for higher education ,",1983.0
9872,brain abscess in patients with hereditary hemorrhagic telangiectasia : case report and literature,"sl dong , sf reynolds , ip steiner","journal of emergency medicine ,",2001.0
9873,"experiential effects of dialectical inquiry , devil 's advocacy , and consensus approaches to strategic","dm schweiger , wr sandberg , pl rechner","the academy of management journal ,",1989.0
9874,cytoskeleton and red cell shape,"s svetina , a iglic , v kralj-iglic , b zeks","cellular and molecular biology letters ,",1996.0
9875,the dimensionality of self-esteem : ii . hierarchical facet model for revised measurement scales,"js fleming , be courtney","journal of personality and social psychology ,",
9876,a. rowe . thedesignofpost-gres,m stonebrakerandl,"proceedings of the acm sigmod 1986 international conference & hellip ; ,",
9877,magnetocumulative generators,ll altgilbers,,2000.0
9878,rate hike predicted for business users .,p hirsch,"computerworld. ,",1982.0
9879,responding to writing on-line,"ge hawisher , c moran","new directions for teaching and learning ,",1997.0
9880,1995 . benchmarking spatial join operations with spatial output,"eg hoel , h samet",proc . 21st int . conf . on very large data,
9881,customized internet radio,"v krishnan , sg chang","www9 / computer networks ,",2000.0
9882,the moral comedy of miss compton-burnett,mm curtis,"wisconsin studies in contemporary literature ,",1964.0
9883,risnes . extending loggingfordatabase snapshot refresh,b kahlerando,proceedings of the international conference on very large,
9884,adsorbate induced surface reconstruction ( abstract only ),"k kankaala , t ala-nissila , sc ying","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
9885,motor learning impairment and back pain,v janda,"fimm proceedings , zurich , switzerland ,",
9886,anefficientindexing technique for full-text database systems,"j zobel , sdr moffata","proc 18th vldb conf ,",
9887,an empirical analysis of function point adjustment factors,cj lokan,,
9888,dimensions of object-oriented language design,p wegner,"proceedings oopsla87 , acm press ,",
9889,sdl-based specification and testing strategy for communication network protocols,o monkevich,"proc . 9 thsdl forum , montreal , canada , june ,",
9890,vibrations of a columnar vortex,k lord,"phil . mag ,",
9891,aquarius prolog,p van roy,"ieee computer ,",
9892,lexical guidance in sentence processing : further support for aâ ® filtering account,"bc adams , c clifton , dc mitchell","unpublished manuscript ,",
9893,dynamic dependencies : a geographic investigation of local labor markets .,"s hanson , g pratt","economic geography ,",1992.0
9894,"love me , lead me , and leave me alone .",js eaton,"new directions for higher education ,",1988.0
9895,model-based information integration in a neuroscience mediator system,"b ludascher , a gupta , me martone","proceedings of the international conference on very large & hellip ; ,",2000.0
9896,"ncgia gis laboratory exercises , volume 1",r dodson,,1991.0
9897,"t. , khoo , m. , wright , m. , hoffman , m. : partnership reviewing",js weatherley,procs . acm/ieee jcdl,
9898,random sampling over joins : efficient implementations and limitations,"s chaudhuri , r motwani , v narasayya","proceedings of the 1999 acm sigmod conference on management & hellip ; ,",
9899,on the reproductive biology of the strictly protected plants of cyprus,cc kadis,,1995.0
9900,minocycline for acne vulgaris : efficacy and safety,"se garner , ea eady , c popescu , j newton , a li wan","cochrane database syst rev ,",2000.0
9901,linear clustering of objects with multiple attributes . acm sigmod intl,hv jagadish,"conference on management of data ,",
9902,properties of the tree k-median linear programming relaxation,"j ward , rt wong , p lemke , a oudjit","unpublished manuscript ,",
9903,"md ; barry mandell , md ; p. wesley mullen . md ; barry roper . md ; garth stevens , . jr",wd kiser,,
9904,"lure , vy , and shu , nc data translation , part ii . define : a non-procedural language for defining in -",bc housel,proc . acm,
9905,emission spectroscopy of nonequilibrium radiation from behind shock waves at super-orbital reentry,"k fujita , s sato , h ebinuma , h otsu , t abe","proc . 21st int . symp . rarefied gas dynamics ,",
9906,user interface tools,"ba myers , dr olsen jr , jg bonar",proceedings of acm,
9907,the corona problem and the angles between invariant subspaces,vi vasyunin,"algebra i analiz ,",
9908,hypermagnesemia-induced fatality following epsom salt gargles,"rb birrer , aj shallash , v totten","journal of emergency medicine ,",2002.0
9909,stabilization of nonlinear uncertain systems,"m krstic , h deng",,1998.0
9910,analysis of bio-optical variability related to physical processes on the southern new england,gc chang,,1999.0
9911,c. silverstein . beyond market baskets : generalizing association rules to correlations,"s brin , r motwani",proceedings of the acm sigmod conference on management of,
9912,implications of accounting practice for financial analysis .,wm wilkinson,"new directions for higher education ,",1979.0
9913,a unifying view of knowledge representation for inductive learning,"af bowers , c giraud-carrier , jw lloyd","submitted for publication ,",
9914,consulting : a full-time job .,gb thomas,"new directions for adult and continuing education ,",1993.0
9915,aaai-94 workshop knowledge discovery in databases,"um fayyad , r uthurusamy","seattle , washington ,",
9916,"badrinath , â ?? energy efficient indexing on airâ ??","t imilienski , s vishwanathan","proceedings sigmod ,",
9917,on the integration of software design information,gj ampt,"information and software technology ,",1987.0
9918,optimal routing in systems with ilr service time distributions,"d towsley , pd sparaggis",,1993.0
9919,"partners , ( university of washington , woods hole oceanographic institute , jet propulsion laboratory ,",n phase,"washington , seattle ,",
9920,understanding dielectric cure monitoring,sd senturia,,1982.0
9921,ship shadowing : model and data comparisons,"ws helliwell , gn sullivan , b macdonald , kj voss","proceedings of spie ,",2005.0
9922,dynamic optimistic interprocedural analysis : a framework and an application,"i pechtchanski , v sarkar",,
9923,data caching issues in an information retrieval system,"r alonso , d barbara , h garcia-molina","acm transactions on database systems ,",1990.0
9924,the human impact on the environment .,s metcalfe,"geography ,",1991.0
9925,the major seventh : standards as a leading tone in higher education .,c adelman,"new directions for higher education ,",1983.0
9926,emmanuelwalker . methods and rules,"s abiteboul , g lausen , h upho",proceedings of the acm sigmod,
9927,5.0 ppc,p fit,"quantum soft , zurich , switzerland ,",
9928,resilient peer-to-peer streaming,"pa chou , vn padmanabhan , hj wang","technical report msr-tr-2003-11 , microsoft research , redmond , wa",
9929,automatic conversion of vhdl programs into cases,"p gomes , c bento",,
9930,transformative learning in adult second language learning,e foster,"new directions for adult and continuing education ,",1997.0
9931,information extraction : techniques and challenges,r grishman,"lecture notes in computer science ,",1997.0
9932,a study of the flight safety under imc,"y kumamoto , h fujimoto , t amano , k kobayashi","european rotorcraft forum , 25 th , rome , italy , proceedings. ,",1999.0
9933,dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,"kdkrh thomas , a datta , d vandermeer","proceeding of the fifteenth acm symposium on operating & hellip ; ,",
9934,on the semantics of updates in databases,"r fagin , jd ullman , my vardi","proceedings of the 2nd acm sigact-sigmod symposium on & hellip ; ,",1983.0
9935,motivation for higher-order learning,jg donald,"new directions for teaching and learning ,",1999.0
9936,guest editors note,"r alt , hd zimmermann","electronic markets ,",
9937,"atlas of protein sequence and structure , vol 5 . natl biomed res found , silver springs",mo dayhoff,"md ,",
9938,a internet based service for patient compliance to disease treatment,"xh wang , rsh istepanian",proceedings of the 25 thannual international conference of,
9939,efficiently publishing relational data as xml documents,b reinwald,"vldb 2000 ,",
9940,bananas : an evolutionary framework for explicit and multipath routing in the internet,"ht kaur , s kalyanaraman , a weiss , s kanwar , a",,
9941,"new complex material , wood ceramic-their properties","k nishimoto , k tsunoda","proceedings of $ 5.03-04 session iufro d ,",
9942,modeling battlefield sensor environments with an object database management system,"ma woyna , jh christiansen , cw hield , kl simunich",,
9943,optimizing queries across diverse data sources,"h laura , hd kossmann , el wimmersâ ? ¦","ptoc . 23rd int . conf . on vety large data bases ,",
9944,http extensions for distributed authoringâ ?? webdav . proposed standard-request for comments ( rfc ),"y goland , e whitehead , a faizi , s carter , d jensen","technical report , microsoft , uc irvine , netscape , novell ,",
9945,efficient locking for concurrent operation on b-trees,"pl leman , sb yao","acm tods ,",
9946,"co. v. parker products , inc. , 498 sw 2d 676 ( tex . 1973 ) ; womack v. allstate ins . co. 296 sw 2d 233 (",g ins,,
9947,routing on longest-matching prefixes,"w doeringer , g karjoth , m nassehi","ieee/acm transactions on networking ( ton ) ,",1996.0
9948,"human physiology : the mechanisms of body function ( 8âª ed . ) , new york , mc graw hill","a vander , j sherman , d luciano",,2001.0
9949,the effects of nefazodone on sleep architecture in depression,"r armitage , aj rush , m trivedi , j cain","neuropsychopharmacology-san diego - ,",1994.0
9950,developing metadata-intensive applications with rondo,"s melnik , e rahm , pa bernstein","journal of web semantics ,",2003.0
9951,efficiently mining long patterns from datasets,rj bayardo,"proc . acm sigmod , intâ ?? l conf . management of data ,",
9952,analyse und synthese nichtlinearer dissipativer systeme : ein ã?berblick,"a kugi , k schlacher",,
9953,"j. , stone , ec , waddington , cj , garrard , & binns , wr 1990","i tl , k mh",proc . 21st int . cosmic-ray,
9954,chordality properties on graphs and minimal conceptual connections in semantic data models,"g ausiello , ad ` atri , m moscarini","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,",1985.0
9955,do diverse juries aid or impede justice ?,"ks klein , td klastorin","wisconsin law review ,",1999.0
9956,oxford university press ; 2004 . 400 pã ¡ gs,s amartya,,
9957,from recombination of genes to the estimation of distributions i. binary parameters,"h muhlenbein , g paaã ?","lecture notes in computer science ,",1996.0
9958,the dynamics of government regulation and e-commerce development : a comparison of malaysia and,n kshetri,"proceedings of the 23rd annual conference of pacific & hellip ; ,",
9959,gloss : text-source discovery over the internet,"l gravano , h garcia-molina , a tomasic","acm transactions on database systems ,",1999.0
9960,centralized concurrency control methods for high-end tp .,a thomasian,"sigmod record ,",1991.0
9961,utilization of full fat jatropha seeds in broiler diet : effect on haematological parameters and,"oa adeyemi , oe fasina , mo balogun","proceedings of the 25 conference of thnigerian society for & hellip ; ,",
9962,adiabatic limit in perturbation theory,"h epstein , v glaser","renormalization theory . proceedings , d. reidel publishing co & hellip ; ,",
9963,evaluating faculty development programs,jf wergin,"new directions for higher education ,",1977.0
9964,a global emergency,s rupley,"pc magazine ,",
9965,semantics based synchronization in database systems,v krishnaswamy,,1993.0
9966,"s80-radtmo , goddard space flight center , greenbelt","jv dave , nr no","md ,",
9967,evaluation strategies for statistical query processing,"wk ng , cv ravishankar","submitted for publication ,",
9968,the aurora experimental framework for the performance evaluation of speech recognition systems under,"d pearce , hg hirsch",,
9969,applying writing guidelines to web pages,"j morkes , j nielsen","proceedings of acm chi &#39; 98 conference on human factors in & hellip ; ,",1998.0
9970,sampling large databases for association mining,h toivonen,"proc . 22nd int &#39; l conf . very large databases ,",
9971,lompoc quadrangle,usg survey,"california-santa barbara co ,",
9972,staples joins kiosk retailers,l mearian,,
9973,"cognitive style , categorization , and vocational effectss on performance of rel database users","dg egly , kt wescourt","acm sigsoc bulletin ,",1981.0
9974,active xml : peer-to-peer data and web serivces integration ( demo ),"s abiteboul , o benjelloun , i manolescu , t milo , r",proceedings of the international vldb,
9975,specs : personal pervasive systems,"m lamming , d bohm",,
9976,active network file system for data mining and multimedia,"sh srinivasan , p singh","proceedings of the 15th international conference on computer & hellip ; ,",2002.0
9977,testing a causal model of corporate risk taking and performance,p bromiley,"the academy of management journal ,",1991.0
9978,mechanoprotection of the plasma membrane in neurons and other non-erythroid cells by the spectrin -,ce morris,,
9979,object systems over relational databases,mk crowe,"information and software technology ,",1993.0
9980,on frequency assignment in mobile automatic telephone systems,"a gamst , w rave","proc . globecom ,",
9981,developmental roles and molecular characterization of a drosophila homologue of arabidopsis,"y kataoka , m takeichi , t uemura","genes to cells ,",2001.0
9982,"using active learning in college classes : a range of options for faculty , edited by tracey e.",m mosely,new directions for teaching and,
9983,thickness dependence of the nucleation field of triglycine sulphate,"hf kay , jw dunn","phil . mag ,",
9984,commercial sources for hart crane 's '' the river '',j baker,"wisconsin studies in contemporary literature ,",1965.0
9985,rule handling in the day-to-day resource management problem : an object-oriented approach,"kx thrampoulidis , c goumopoulos , e housos","information and software technology ,",1997.0
9986,dynamic plan migration for continuous queries over data streams,"y zhu , ea rundensteiner , gt heineman","acm sigmod ,",2004.0
9987,tool path planning using trochoid cycles for hardened steel in die and mold manufacturing ( 1,"s ibaraki , i yamaji , y kakino , s nishida","at icam2003 ,",
9988,a query model for object-oriented databases,w krm,proceedings of the international conference on very large,
9989,"the algal turf community in the nest of the ocean goldfish , hypsypops rubicunda",ms foster,"proc . int . seaweed symp ,",
9990,query optimisation for nested relations,"l golby , ar algebra","proceedings of the acm sigmod international conference on & hellip ; ,",
9991,understanding bizarre and kinky web sites .,jc dvorak,"pc magazine online ,",
9992,a case of sphenoid ridge meningioma presenting as subarachnoid hemorrhage,"n nakao , k kubo , h moriwaki","no to shinkei ,",1991.0
9993,vanguard/place experiment system design and test plan,re taylor,"& hellip ; telemetering conference , washington , d. c , proceedings ,",1973.0
9994,productivity and the enactment of a macro culture,"kc laudon , kl marr","proceedings of the international conference on information & hellip ; ,",1994.0
9995,in comes java . do you retrain or replace ?,d orenstein,"computerworld ,",
9996,full text full text available on the publisher site publisher sitesource bt technology journal,"cm christensen , dl sundahl","bt technology journal ,",2001.0
9997,eeg-based brain computer communication : improvement by bayesian discriminant analysis,"ge fabiani , dj mcfarland , jr wolpaw , g",proc . soc . neuroscience 29th annu .,
9998,logic restructuring for wave-pipelined circuits,"ts kim , w burleson , m ciesielski","proc . int . workshop logic synthesis ,",
9999,carotid endarterectomy for symptomatic carotid stenosis,"cs cina , cm clase , rb haynes","cochrane database syst rev ,",2000.0
10000,integrating activity-based costing and the theory of constraints,"r cooper , r slagmulder","management accounting ,",
10001,"603 or 604 two semesters of cegep courses , including four of the following : biology 101 , chemistry",q english,,
10002,"systemic intervention : philosophy , methodology , and practice",g midgley,,
10003,notes on digital coding,mje golay,"proc . ieee ,",
10004,extending a database system with procedures,"m stonebraker , j anton , e hanson","acm transactions on database systems ,",1987.0
10005,optimization of large join queries,"a swani , a gupta","proceedings of the acm sigmod conference on management of & hellip ; ,",
10006,a direct injection diesel combustion model for use in transient condition analysis,"y cui , k deng , j wu","proceedings of the i mech e part d journal of automobile & hellip ; ,",2001.0
10007,michael tan . semantic data caching and replacement,"s dar , mj franklin , bã ? jã ³ nsson , d srivastava",vldb,
10008,bio-keys,sw grotta,"pc magazine ,",
10009,toolbook companion,jr pierce,,1990.0
10010,the passing of traditional society,d lerner,"new york ,",
10011,influence of stimulus components placed outside classical receptive field reveals harmonic structure,"s kadia , r snider , x wang","proceedings of the 23rd midwinter meeting of the association & hellip ; ,",
10012,an optimal divide-conquer algorithm for 2d skyline queries,"hx lu , y luo , x lin",,
10013,algorithms for partial logic,t langholm,"unpublished manuscript ,",
10014,an interview with vladimir nabokov,"a appel jr , v nabokov","wisconsin studies in contemporary literature ,",1967.0
10015,chain extension of sugar î ´ - lactones with the enolate of tert-butyl bromoacetate and elaboration,"f schweizer , t inazu","acc . chem . res ,",1995.0
10016,the lowell report,"j gray , h schek , m stonebraker , j ullman",proc . 2003 acm sigmod international conference on management,
10017,access path support for referential integrity in sql2,"t hã $ rder , j reinert","the vldb journal the international journal on very large & hellip ; ,",1996.0
10018,voice vs. data : estimates of media usage and network traffic,am noll,,
10019,the will and the ways : development and validation of an individual-differences measure of hope,"cr snyder , c harris , jr anderson , sa holleran , lm","journal of personality and social psychology ,",1991.0
10020,"rf d transceiver for 433 mhz , ism wireless data communications","aj nadler , b bailey","electronic engineering ,",1998.0
10021,becoming famous overnight : limits on the ability to avoid unconscious influences of the past,"ll jacoby , c kelley , j brown , j jasechko","journal of personality and social psychology ,",
10022,catalytic enantioselective michael additions to unsaturated ester derivatives using chiral copper (,"da evans , mc willis , jn johnston","acc . chem . res ,",1999.0
10023,steps to a smoother lager .,j fiderio,"computerworld. ,",1988.0
10024,electronic textbook of electromagnetic waves,z raida,,
10025,algal class abundances in the western equatorial pacific : estimation from hplc measurements of,"dj mackey , hw higgins , md mackey , d holdsworth","deep-sea research i ,",1998.0
10026,feedback stabilization of continuous systems by adding an integrator,"r outbib , w aggoune","applied mathematics and computer science ,",1999.0
10027,procalcitonin : a new marker for differential diagnosis of acute rejection and bacterial infection in,"m staehler , c hammer , b meiser , b reichart","transplantation proceedings ,",1997.0
10028,integrating path and timing analysis using instruction-level simulation techniques,"t lundqvist , p stenstroem","lecture notes in computer science ,",1998.0
10029,closet : an efficient algorithm for mining frequent closed itemsets ( pdf ) '',"j pei , j han , r mao",proc . 2000 acm-sigmod int . workshop on data mining and,
10030,minimum-phase nonlinear discrete-time systems,"s monaco , d normand-cyrot","proc . 28th conference on decision and control , los angeles , & hellip ; ,",
10031,ssf fingerprint for image authentication : an incidental distortion resistant scheme,"s tang , jt li , yd zhang",,
10032,princenton university press,hs weyl,,
10033,bicycle helmets for children,js halpern,"journal of emergency nursing ,",1990.0
10034,the power of dominance relations in branch-and-bound algorithms,t ibaraki,"journal of the acm ( jacm ) ,",1977.0
10035,exploiting versions for handling updates in broadcast disks,"e pitoura , pk chrysanthis","proceedings of the international conference on very large & hellip ; ,",1999.0
10036,"kungl . svenska vetensk . akad . handl. , p. 327 ( 1852 ) ; poggendorff annalen 94 , 141 ( 1855 )",aj ã?ngstrã ¶ m,"phil . mag ,",
10037,the operating performance of seasoned equity issuers : free cash flow and post-issue performance,"r mclaughlin , a safieddine , gk vasudevan",,
10038,jd ullman system/ua database system based on the universal relation assumption,"hfk kkfgui , gm kuper , j felgenbaum , a van gelder","acm tods ,",
